auprc_ci95,auprc_mean,auroc_ci95,auroc_mean,balanced_accuracy_ci95,balanced_accuracy_mean,condition,elapsed_sec_ci95,elapsed_sec_mean,f1_ci95,f1_mean,method,precision_ci95,precision_mean,recall_ci95,recall_mean,selected_edges_ci95,selected_edges_mean,sign_accuracy_ci95,sign_accuracy_mean,train_mse_ci95,train_mse_mean
0.04808485297815002,0.5647963032903549,0.024263318343437007,0.8047142857142857,0.025202714450111394,0.7835714285714286,Linear VAR(1),8.874247566023385,46.388997140020365,0.04513074127281242,0.6293341213553979,Xneural VAR,0.06906207731047923,0.5449642079053844,0.04389945165425418,0.75,4.595834411373455,27.8,0.04389945165425418,0.75,0.007225180670761859,0.9466997861862183
0.0222387287788012,0.923833130193412,0.0114724578346103,0.9762857142857143,0.02794095919370582,0.9114285714285714,Linear VAR(1),11.362659730748485,39.67667794000008,0.0487573788769233,0.8660451016057424,NGC (cMLP),0.12813667284615465,0.8834637876743139,0.08094658923543512,0.86,4.678948458679799,19.8,,,0.0318746530357819,0.8211599707603454
0.09480670187233543,0.28568920487558236,0.09886202342141727,0.5697142857142857,0.03566959661948867,0.5242857142857142,Linear VAR(1),2.6653053258020396,14.340560160001042,0.05433294675974069,0.3286100600073298,GVAR,0.07533764505280482,0.26306332419861655,0.4037795103506851,0.62,39.84561485372676,52.4,0.09415383441742188,0.93,0.0038078455238140306,0.012884287163615227
0.046431987602341275,0.8960348374775796,0.03299826932153043,0.9511428571428573,0.04718123135657313,0.8114285714285714,Linear VAR(1),0.00767570951649918,0.015908180008409545,0.07390490354615636,0.7518921938276777,"linear VAR (F-test, BH)",0.10815175365049781,0.9208333333333334,0.09208426664959905,0.64,2.483327996407528,14.0,0.0,1.0,0.0226886432288829,0.646602365747806
0.016150655325291023,0.2537616492615643,0.023899918198800312,0.6814583333333334,0.023899918198800312,0.6814583333333334,Lorenz-96 F=10,23.075791048827863,143.43145162002185,0.023115285253473995,0.4148360923755323,Xneural VAR,0.013975103576951111,0.3129878019803723,0.06378442447924777,0.6166666666666667,10.731597853410328,118.2,,,0.02080730298207982,0.5778038263320923
0.001635369199606987,0.9537563370439173,0.0006527346554725123,0.9907552083333334,0.0040644464699641485,0.9479166666666666,Lorenz-96 F=10,7.208896600764977,85.92958491997561,0.0044945482674996606,0.9103004838298956,NGC (cMLP),0.009759321640538809,0.9073677873483375,0.009254817017325945,0.9133333333333333,1.1105780420791171,60.4,,,0.00015989003709982372,0.07889909595251084
0.057218018591122945,0.21961825164556906,0.06814330395572393,0.5775208333333333,0.057438101302355965,0.5322916666666666,Lorenz-96 F=10,9.905928633238352,37.978032239997994,0.07050522325552605,0.23511748552459136,GVAR,0.0469270445169013,0.19261511622192734,0.152493998975588,0.32333333333333336,45.09822098339493,102.2,,,0.00044741606558837307,0.012120653688907624
0.0,0.6897512962988105,0.0,0.86578125,0.0,0.6755208333333333,Lorenz-96 F=10,0.0,0.0578924999863375,0.0,0.5057471264367815,"linear VAR (F-test, BH)",0.0,0.8148148148148148,0.0,0.36666666666666664,0.0,27.0,,,0.0,0.008659752789752203
0.07549437090929759,0.5140192951183663,0.03554909365450352,0.8399999999999999,0.035549093654503504,0.8399999999999999,Lorenz-96 F=40,15.514540634322298,147.60921140002318,0.06263881442933854,0.6853757530992932,Xneural VAR,0.07290392479761044,0.6183262032085561,0.053566126178866524,0.7699999999999999,5.483039754232087,75.0,,,0.011521660969084172,0.786621630191803
0.0038781511537913553,0.7921597684997744,0.003906678243036203,0.953546875,0.007010060943588291,0.9239583333333332,Lorenz-96 F=40,11.696571974092823,107.14303362000501,0.008600905556614203,0.7436018628053853,NGC (cMLP),0.009330953843961058,0.6042333807837678,0.014633150551418042,0.9666666666666666,1.9632431614775572,96.0,,,0.005688658120929603,0.3223294973373413
0.04429679993219192,0.23796172186934972,0.057256536818988506,0.6414166666666666,0.027899690288888463,0.5514583333333334,Lorenz-96 F=40,10.756961604447897,50.05339162000455,0.026717144231501105,0.28427816804259265,GVAR,0.0343033531143713,0.1907092779474691,0.3862153901893616,0.7066666666666667,155.77465414621665,235.6,,,0.0001808545447782974,0.006361285224556923
0.0,0.7722181084362657,0.0,0.8916145833333333,0.0,0.6651041666666666,Lorenz-96 F=40,0.0,0.03248530000564642,0.0,0.4938271604938272,"linear VAR (F-test, BH)",0.0,0.9523809523809523,0.0,0.3333333333333333,0.0,21.0,,,0.0,0.23462472239932355
