method,variant,param_name,param_value,auroc,auprc,precision,recall,f1,balanced_accuracy,threshold,test_mse,sign_accuracy,elapsed_sec
Xneural VAR,ISTA + hierarchical group lasso,lambda_ngc,0.03,0.9999479166666667,0.9997267759562842,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9901041666666666,0.057908885180950165,0.4683296875,,15.476127299989457
GVAR,coefficient elastic-net + smoothness,lambda_coeff,0.0,0.9825520833333333,0.9043293883113337,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.9307291666666666,0.565043032169342,0.43113778076171877,,17.45610680000391
cMLP,Neural-GC hierarchical group lasso,lambda_ngc,0.01,0.8423958333333333,0.6123787231891499,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.7229166666666667,0.13266077637672424,0.4733510864257813,,214.72315309999976
linear VAR,ridge VAR,ridge,10.0,0.9436979166666667,0.8581435616894225,0.75,0.75,0.75,0.8515625,0.13545055879049875,0.36605217263373396,,0.04593429999658838
